10:29:30|User said (private|XXMaxterXX):	hola
10:29:43|Prelude responded to (pm | XXMaxterXX):	Ahora, cabron
10:29:43|User said (private|XXMaxterXX):	como t llams
10:29:51|Prelude responded to (pm | XXMaxterXX):	do u talk like this to everyone? .. 
10:33:34|User said (private|_LoReNa_25_):	hola sexGirlFlower que tal?
10:33:46|Prelude responded to (pm | _LoReNa_25_):	[23:36:02] <sexGirlFlower> People say they smell good i can't feel anything
10:33:46|User said (private|_LoReNa_25_):	Me podes hacer un favor amor
10:33:59|Prelude responded to (pm | _LoReNa_25_):	My favorite places are california and maine. holland is cool too.
10:34:13|User said (private|_LoReNa_25_):	Mira entra a mi blog http://www.la-mejor-alimentacion.blogspot.com/ y al lado derecho hay 2 webs o titulos de color azul
10:34:24|Prelude responded to (pm | _LoReNa_25_):	How do you rate a persons intelligence
10:34:24|User said (private|_LoReNa_25_):	dale clics solo a una de ellas asi yo te activare mi video llamada para conversar y ser amigos.
10:34:39|Prelude responded to (pm | _LoReNa_25_):	Para ti_
10:34:39|User said (private|_LoReNa_25_):	Te dejo mi msn mi amor es, fernanda_tierna@hotmail.com agregame amigo.
10:34:52|Prelude responded to (pm | _LoReNa_25_):	Do you also like niggers. nothing makes me hornier
10:34:52|User said (private|_LoReNa_25_):	hasle clics por favor amigo si no, no te podre aceptar... te espero..
10:35:02|Prelude responded to (pm | _LoReNa_25_):	Pero es que tu no me quieres respetar.
10:43:41|User said (private|TwistedShells):	yeah? do i know u?
10:43:50|Prelude responded to (pm | TwistedShells):	Knowledge is of two kinds: that which we know from the senses and that which is true "a priori".
10:44:17|User said (private|TwistedShells):	yeah? do i know u?
10:44:28|Prelude responded to (pm | TwistedShells):	 ... 
10:45:56|User said (private|Lord_of_Vampire):	hi my love
10:46:05|Prelude responded to (pm | Lord_of_Vampire):	I am sure it means a lot to you. tell me what you like most about your .
10:50:38|User said (private|Lord_of_Vampire):	and fromm
10:50:50|Prelude responded to (pm | Lord_of_Vampire):	Who do you think?
10:54:02|User said (private|Lord_of_Vampire):	sex bolivia
10:54:15|Prelude responded to (pm | Lord_of_Vampire):	Bolivia     is a land-locked country in south america,
10:55:43|User said (private|Lord_of_Vampire):	yes iam from bolivia
10:55:55|Prelude responded to (pm | Lord_of_Vampire):	sure.
10:55:55|User said (private|Lord_of_Vampire):	y lakie sex
10:56:08|Prelude responded to (pm | Lord_of_Vampire):	I love sex too
10:56:36|User said (private|Lord_of_Vampire):	like
10:56:48|Prelude responded to (pm | Lord_of_Vampire):	I have never tasted anything like that before.
10:58:00|User said (private|Lord_of_Vampire):	cam
10:58:12|Prelude responded to (pm | Lord_of_Vampire):	Where are you going?
11:08:11|User said (private|iwan_27tahun):	hi
11:08:22|Prelude responded to (pm | iwan_27tahun):	how u doing?
11:21:44|User said (private|Haruku):	I am Away. Reason: (Auto Away on IdLe) 1»6REDLOTUS1« 2t.c(4£)219.O2
11:21:54|Prelude responded to (pm | Haruku):	Oh you are very clever!
11:22:15|User said (private|Haruku):	SoRRY YoU HaVE BEEN IgNORED..! 1»14REDLOTUS1« 2t.c(4£)219.O2
11:22:28|Prelude responded to (pm | Haruku):	ur good name plz
11:27:24|User said (private|TwistedShells):	what's up doc?
11:27:37|Prelude responded to (pm | TwistedShells):	Not much, siss
11:28:15|User said (private|TwistedShells):	Hi too..
11:28:27|Prelude responded to (pm | TwistedShells):	I like the way you think.
11:32:07|User said (private|Haruku):	I am Away. Reason: (Auto Away on IdLe) 1»9REDLOTUS1« 2t.c(4£)219.O2
11:32:20|Prelude responded to (pm | Haruku):	7{4Stream URL7} Tune in @ http://174.123.174.52:8100/listen.pls 3- 7{4Web Hit Counts:12 8728027} 3- Powered by #GunRadio
